"ano","pais","acesso_eletricidade_populacao_porcent","CO2_emissao_kt_por_pais","pib_per_capita_dolar","area_km2","expectativa_vida","total_populacao","consumo_kwh_per_capita","idh_nivel","idh_valor","Energia_Alternativa_e_Nuclear_percent_total","Producao_Eletricidade_de_Carvao_percent_total","Producao_Eletricidade_de_Hidreletrica_percent_total","Producao_Eletricidade_de_Gas_Natural_percent_total","Producao_Eletricidade_de_Nuclear_percent_total","Producao_Eletricidade_de_Petroleo_percent_total","Producao_Eletricidade_de_Combustiveis_Fosseis_percent_total","Producao_Eletricidade_de_Renovavel_excluindo_Hidreletrica_percent_total","Producao_Eletricidade_de_Renovavel_excluindo_Hidreletrica_kWh","Consumo_Energia_Combustiveis_Fosseis_percent_total","Producao_Energia_Eletrica_Renovavel_percent_total","Consumo_Energia_Renovavel_percent_total_consumo_final_energia","predicted_idh"
2000,"Brasil",94.391716,313670,3749.91,8515770,70,175873720,1886,"High",0.668,13.7123337103255,3.15439511621908,87.2439884210828,1.16591671204609,1.73282508383251,4.34753948009515,8.66785130836032,2.24871743429538,7.846e+09,58.2320639159772,89.4927058553782,42.66,0.668857800583041
2001,"Brasil",96.016525,319380,3160.25,8515770,70,178211881,1738,"High",0.673,12.957041179845,3.39809076186881,81.5432196476189,3.02001777734484,4.34662169566647,4.81510343735921,11.2332119765729,2.74422540699161,9.015e+09,58.9496897692736,84.2874450546105,41.33,0.667263068540743
2002,"Brasil",96.65299,317760.0098,2839.49,8515770,70,180476685,1797,"High",0.678,13.2458510150284,2.66264743064937,82.7642469284377,3.58896175843504,4.00264991856418,3.88780082795491,10.1394100170393,2.97392607421508,1.028e+10,57.1539976067783,85.7381730026528,42.85,0.67799290172686
2003,"Brasil",96.980095,310809.9976,3070.44,8515770,71,182629278,1874,"High",0.682,13.7598407191996,2.49575258207329,83.8823183902904,3.59829719025413,3.66636566494391,2.95192115035722,9.04597092268464,3.28128473756584,1.1955e+10,54.6413284413391,87.1636031278562,45.11,0.686214437658932
2004,"Brasil",96.76511,328519.989,3637.31,8515770,71,184722043,1949,"High",0.689,13.2391116123765,2.73116997416461,82.7963649784619,4.9719578890859,2.99675057361796,3.13018611289627,10.8333139761468,3.23574730354391,1.2537e+10,54.6982242959686,86.0321122820058,45.18,0.690527730696696
2005,"Brasil",97.09351,331690.0024,4790.46,8515770,72,186797334,2009,"High",0.696,13.3373502658831,2.66529043527453,83.729372036533,4.66760786337595,2.44520920123166,2.89752948269745,10.2304277813479,3.3952554753581,1.3684e+10,54.2523211637792,87.1246275118911,46.13,0.694923066176185
2006,"Brasil",97.594315,335619.9951,5886.39,8515770,72,188820682,2065,"High",0.701,13.7210227010359,2.50395266814042,83.1801152772114,4.35401598237217,3.27993952358127,2.95084860148282,9.80881725199541,3.5675363728934,1.496e+10,53.4228918773252,86.7476516501048,46.67,0.701037435221168
2007,"Brasil",98.12538,352559.9976,7348.19,8515770,72,190779453,2160,"High",0.708,13.5625823702339,2.26846412533388,84.0205595005695,3.48109725551335,2.77436442343765,2.99519035284973,8.74475173369696,4.19412014458145,1.867e+10,52.6606402553194,88.2146796451509,47.19,0.71019266722635
2008,"Brasil",98.52663,373630.0049,8831.18,8515770,73,192672317,2222,"High",0.714,12.9093971632582,2.60782996844949,79.8061619592845,6.21465144352761,3.01662610378196,3.79081212869844,12.6132935406755,4.46026168999302,2.0654e+10,52.5694606110172,84.2664236492775,47.04,0.714482627745672
2009,"Brasil",98.85694,350000,8597.79,8515770,73,194517549,2190,"High",0.717,13.7955018306793,2.09859671630328,83.8812239740325,2.86020153565276,2.77975032234119,3.14060083111467,8.0993990830707,5.11455180092723,2.384e+10,51.3185079919958,88.9957757749597,48.92,0.714249086240999
2010,"Brasil",98.6,397929.9927,11286.07,8515770,73,196353492,2366,"High",0.722,12.7004383572272,2.19837322707927,78.1954260341836,7.07229347836625,2.81592647529302,3.11491143879243,12.3855781442379,6.52880784108426,3.3672e+10,53.4879028437786,84.7242338752678,46.81,0.722795728371646
2011,"Brasil",99.32869,418309.9976,13245.39,8515770,73,198185302,2423,"High",0.727,13.4916124032512,2.32794302660802,80.5505146147582,4.71926086539528,2.94476612437636,2.78247394956719,9.82967784157049,6.57048238199027,3.4939e+10,54.5687094244576,87.1209969967485,45.26,0.728484631924818
2012,"Brasil",99.51949,454230.011,12370.22,8515770,74,199977707,2493,"High",0.732,12.6507405645914,2.5916355424303,75.1581545499291,8.46144937606763,2.90215408668462,3.54526766843279,14.5983525869307,7.2901285503344,4.0287e+10,56.5488922662768,82.4482831002635,43.49,0.737768200526447
2013,"Brasil",99.57515,486839.9963,12300.39,8515770,74,201721767,2560,"High",0.75,11.4981042378909,3.81301917716111,68.4634457254122,12.0823819462927,2.70532449885834,4.65070671130598,20.5461078347598,8.22576239371314,4.6977e+10,58.0180822526514,76.6892081191253,42.32,0.744695640318541
2014,"Brasil",99.650246,511619.9951,12112.83,8515770,74,203459650,2611,"High",0.753,10.8090873277871,4.52957838046494,63.2249839583781,13.7263798757642,2.60356792759176,5.99728096625588,24.253239222485,9.85708988895304,5.8221e+10,59.1075326389753,73.0820738473312,41.71,0.750514977041902
2015,"Brasil",99.7109,485339.9963,8813.99,8515770,74,205188205,NA,"High",0.752,NA,4.72241133873863,61.8484936009848,13.6662471718485,NA,5.04425326483877,23.4329117754259,12.1184144471265,7.0487e+10,NA,73.9669080481113,43.62,NA
2016,"Brasil",99.7,447079.9866,8710.06,8515770,74,206859578,NA,"High",0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.46,NA
2017,"Brasil",99.8,456489.9902,9928.68,8515770,75,208504960,NA,"High",0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.33,NA
2018,"Brasil",99.7,433989.9902,9151.38,8515770,75,210166592,NA,"High",0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.95,NA
2019,"Brasil",99.8,434299.9878,8897.55,8515770,75,211782878,NA,"High",0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.58,NA
2020,"Brasil",100,NA,6796.84,8515770,74,213196304,NA,"High",0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.05,NA
